id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
71055,3.9125,3,50,2,2,1,0,0,0,0,58,8330.0,0
71056,3.573086303080919,6,64,36,12,17,6,2,3,0,153,8331.0,7
71057,,0,30,6,0,3,0,0,0,0,39,8332.0,0
71058,,1,21,2,0,2,0,0,0,0,26,8333.0,0
71059,3.814285714,10,17,0,0,2,1,0,1,0,31,8334.0,0
71060,,1,36,5,0,0,1,0,0,0,44,8335.0,1
71061,,0,11,0,0,0,0,0,0,0,11,8336.0,0
71062,3.163646546359676,9,131,312,433,392,137,76,63,15,1607,8337.0,39
71063,3.174566929133858,0,28,22,20,23,13,8,3,4,127,8338.0,6
71064,3.4028368794326243,0,38,33,27,23,9,3,4,1,141,8339.0,3
71065,3.60086705200578,9,65,44,30,7,10,4,2,0,173,8340.0,2
71066,3.5885185185185184,0,19,14,11,8,2,0,0,0,54,9708.0,0
71067,3.719368421052632,5,58,8,7,9,3,1,2,1,95,8341.0,1
71068,3.6072093023255816,2,16,11,7,5,0,1,1,0,43,8342.0,0
71069,3.5746153846153845,0,12,13,8,2,1,2,0,0,39,8343.0,1
71070,,0,12,5,0,0,0,0,0,0,17,8344.0,0
71071,,3,6,0,0,1,0,0,0,0,10,8345.0,0
71072,,1,1,1,0,0,0,0,0,0,3,8347.0,0
71073,3.3752173913043477,0,16,20,37,10,0,2,2,0,92,8360.0,5
71074,,0,1,0,0,0,0,0,0,0,1,1973.0,0
71075,,3,16,2,0,0,1,0,0,0,22,8361.0,0
71076,3.5775999999999994,11,53,68,24,5,3,3,4,2,175,8362.0,2
71077,3.8338869463869463,5,74,30,7,1,0,0,0,0,117,8364.0,0
71078,3.746774193548387,13,23,13,6,5,2,0,0,0,62,8365.0,0
71079,3.8707544581618656,5,63,4,3,6,0,0,0,0,81,1981.0,0
71080,3.963974058207535,133,100,21,5,1,0,0,0,0,265,8366.0,5
71081,3.93239082161362,109,64,6,2,5,1,0,1,0,193,8367.0,5
71082,3.94880541934354,91,79,9,1,1,1,0,0,0,185,8368.0,3
71083,3.980564646649438,103,54,12,0,0,1,0,0,0,172,8369.0,2
71084,3.868842105263158,46,27,13,6,1,1,0,1,0,96,8370.0,1
71085,3.9717501286549703,93,59,10,6,0,0,0,0,0,170,8371.0,2
71086,3.9516279069767446,34,38,5,3,2,0,2,0,0,84,1992.0,0
71087,3.948722235536009,68,86,6,4,1,0,0,1,0,184,8372.0,0
